{1, {2, 3, 4, 5, 7, 9, 10, 11, 13, 15, 17, 21, 26, 31, 38, 46, 47, 63, 71, 76, 92}}
{2, {1, 58}}
{3, {1}}
{4, {1, 8, 22, 44}}
{5, {1, 6, 23, 73}}
{6, {5, 16}}
{7, {1, 19, 32, 33, 43, 65, 91}}
{8, {4}}
{9, {1, 12, 67}}
{10, {1, 18}}
{11, {1, 25, 27, 28, 36, 42, 78, 87}}
{12, {9, 14, 84}}
{13, {1, 40, 48, 98}}
{14, {12, 56, 60, 85, 97, 99}}
{15, {1}}
{16, {6, 29}}
{17, {1}}
{18, {10, 79}}
{19, {7, 20, 24, 77, 81}}
{20, {19}}
{21, {1, 74, 100}}
{22, {4}}
{23, {5, 30, 41}}
{24, {19}}
{25, {11, 64}}
{26, {1, 45, 80}}
{27, {11}}
{28, {11, 39}}
{29, {16, 35, 75}}
{30, {23}}
{31, {1, 34, 37, 54, 72}}
{32, {7, 52, 66, 88, 94}}
{33, {7}}
{34, {31, 62}}
{35, {29, 51, 69}}
{36, {11}}
{37, {31, 93}}
{38, {1, 53, 86, 89}}
{39, {28, 49}}
{40, {13}}
{41, {23, 96}}
{42, {11}}
{43, {7}}
{44, {4}}
{45, {26, 82}}
{46, {1}}
{47, {1, 50, 57, 59, 61, 70}}
{48, {13}}
{49, {39}}
{50, {47}}
{51, {35}}
{52, {32, 55}}
{53, {38}}
{54, {31}}
{55, {52}}
{56, {14}}
{57, {47}}
{58, {2}}
{59, {47, 83}}
{60, {14}}
{61, {47, 90, 95}}
{62, {34}}
{63, {1}}
{64, {25, 68}}
{65, {7}}
{66, {32}}
{67, {9}}
{68, {64}}
{69, {35}}
{70, {47}}
{71, {1}}
{72, {31}}
{73, {5}}
{74, {21}}
{75, {29}}
{76, {1}}
{77, {19}}
{78, {11}}
{79, {18}}
{80, {26}}
{81, {19}}
{82, {45}}
{83, {59}}
{84, {12}}
{85, {14}}
{86, {38}}
{87, {11}}
{88, {32}}
{89, {38}}
{90, {61}}
{91, {7}}
{92, {1}}
{93, {37}}
{94, {32}}
{95, {61}}
{96, {41}}
{97, {14}}
{98, {13}}
{99, {14}}
{100, {21}}
